Provider,Source,Instrument,Date_Start,Date_End,Active
ESA,PROBA2,LYRA,2012-03-03 00:00:00.000000,2012-03-05 00:00:00.000000,1
ESA,PROBA2,SWAP,2012-03-03 00:00:00.000000,2012-03-03 01:00:00.000000,1
HAO,MLSO,K-Cor,2018-12-08 00:00:00.000000,2018-12-11 20:00:00.000000,1
HAO,MLSO,chp,2012-02-06 00:00:00.000000,2012-02-11 20:00:00.000000,1
HAO,MLSO,dpm,2008-07-09 00:00:00.000000,2008-07-12 20:00:00.000000,1
HAO,MLSO,mk4,2008-07-09 00:00:00.000000,2008-07-12 20:00:00.000000,1
HAO,SMM,cp,1984-12-09 00:00:00.000000,1984-12-11 20:00:00.000000,1
HSOS,SATech-01,SUTRI,2022-09-05 00:00:00.000000,2022-09-05 06:00:00.000000,1
INAF-OACT,OACT,BE-Continuum,2020-07-06 18:08:42.201007,2020-07-09 18:08:42.201007,1
INAF-OACT,OACT,BE-Halpha,2021-04-19 15:11:35.576707,2021-04-22 15:11:35.576707,1
INAF-OACT,OACT,Cook_Refractor,2014-06-05 00:00:00.000000,2014-06-10 00:00:00.000000,1
JSOC,SDO,AIA,2011-06-07 06:30:00.000000,2011-06-07 06:31:00.000000,1
JSOC,SDO,HMI,2011-06-07 06:30:00.000000,2011-06-07 06:31:00.000000,1
KSO,KSO,CAII,2016-05-16 14:30:52.918691,2016-05-19 14:30:52.918691,1
KSO,KSO,FILM,1997-08-05 18:03:40.768431,1997-08-08 18:03:40.768431,1
KSO,KSO,HA2,2009-06-26 02:30:20.143278,2009-06-29 02:30:20.143278,1
KSO,KSO,KPDC,2022-04-01 08:00:00.000000,2022-04-01 09:00:00.000000,1
KSO,KSO,PHOKA,2006-05-14 10:24:50.239025,2006-05-17 10:24:50.239025,1
KSO,KSO,TM-1001,2003-12-01 14:31:16.586219,2003-12-04 14:31:16.586219,1
LASP,MINXSS1,X123,2017-01-21 08:12:08.585745,2017-01-24 08:12:08.585745,1
LASP,SDO,EVE,2011-07-30 18:36:29.519281,2011-08-02 18:36:29.519281,1
LMSAL,IRIS,IRIS,2017-09-14 13:12:12.228426,2017-09-17 13:12:12.228426,1
LSSP,RHESSI,RHESSI,2006-11-18 17:33:49.141076,2006-11-21 17:33:49.141076,1
MPS,SUNRISE1,IMaX,2009-06-09 00:35:49.000000,2009-06-09 16:11:36.000000,1
MPS,SUNRISE1,SuFI,2009-06-09 15:00:00.000000,2009-06-09 16:00:00.000000,1
MPS,SUNRISE2,IMaX,2013-06-12 23:38:53.000000,2013-06-12 23:55:20.000000,1
MPS,SUNRISE2,SuFI,2013-06-12 23:40:00.000000,2013-06-12 23:50:00.000000,1
MSFC,CLASP2,SJ,2019-04-11 00:00:00.000000,2019-04-14 00:00:00.000000,1
MSFC,CLASP2,SP1,2019-04-11 00:00:00.000000,2019-04-14 00:00:00.000000,1
MSFC,CLASP2,SP2,2019-04-11 00:00:00.000000,2019-04-14 00:00:00.000000,1
MSFC,HI-C,HI-C,2012-07-11 00:00:00.000000,2012-07-14 00:00:00.000000,1
MSFC,HI-C21,HI-C21,2018-05-29 00:00:00.000000,2018-06-01 00:00:00.000000,1
MSU,YOHKOH,BCS,1998-05-13 02:33:39.171349,1998-05-16 02:33:39.171349,1
MSU,YOHKOH,HXT,1994-02-02 13:59:57.183428,1994-02-05 13:59:57.183428,1
MSU,YOHKOH,SXT,2000-12-26 21:19:31.168842,2000-12-29 21:19:31.168842,1
MSU,YOHKOH,WCS,1995-09-09 12:16:36.730611,1995-09-12 12:16:36.730611,1
MWSPADP,MtWilson,60-ft SHG,1985-06-26 01:07:51.401024,1985-06-29 01:07:51.401024,1
NAOJ,SFT,T1-HALPHA,2020-03-01 01:00:00.000000,2020-03-01 02:00:00.000000,1
NOAA,GOES16,SUVI,2021-07-30 12:26:31.103199,2021-08-02 12:26:31.103199,1
NOAA,GOES17,SUVI,2020-07-01 08:25:50.706085,2020-07-04 08:25:50.706085,1
NRL,PSP,WISPR,2019-12-19 06:03:51.115948,2019-12-22 06:03:51.115948,1
NSO,Evans,spectroheliograph,1996-02-26 00:23:31.454907,1996-02-29 00:23:31.454907,1
NSO,GONG,Big Bear,2019-02-16 11:05:35.197420,2019-02-19 11:05:35.197420,1
NSO,GONG,Cerro Tololo,2015-09-22 23:39:40.044023,2015-09-25 23:39:40.044023,1
NSO,GONG,El Teide,2009-01-12 13:21:51.127142,2009-01-15 13:21:51.127142,1
NSO,GONG,Learmonth,2009-10-04 10:26:44.091173,2009-10-07 10:26:44.091173,1
NSO,GONG,MERGED GONG,2020-11-22 23:47:25.838313,2020-11-25 23:47:25.838313,1
NSO,GONG,Mauna Loa,2008-05-14 23:50:47.852659,2008-05-17 23:50:47.852659,1
NSO,GONG,Udaipur,2008-11-29 12:14:49.191429,2008-12-02 12:14:49.191429,1
NSO,HXECLIPSE,HXECLIPSE,2008-08-01 00:00:00.000000,2008-08-02 00:00:00.000000,1
NSO,ISOON,ISOON,2012-04-15 09:13:42.709996,2012-04-18 09:13:42.709996,1
NSO,IVM,IVM,2001-05-05 18:53:13.517481,2001-05-08 18:53:13.517481,1
NSO,KPVT,512-channel magnetograph,1984-01-15 09:04:30.088298,1984-01-18 09:04:30.088298,1
NSO,KPVT,spectromagnetograph,1996-12-21 17:58:20.509124,1996-12-24 17:58:20.509124,1
NSO,McMath,solar fts spectrometer,1992-09-21 15:57:45.551974,1992-09-24 15:57:45.551974,1
NSO,PTMC,PTMC,1997-11-26 06:01:49.439688,1997-11-29 06:01:49.439688,1
NSO,SDO,HMI,2011-10-03 01:11:56.702538,2011-10-06 01:11:56.702538,1
NSO,SOLIS,ISS,2010-03-07 15:35:26.899226,2010-03-10 15:35:26.899226,1
NSO,SOLIS,vsm,2009-04-06 09:39:57.763575,2009-04-09 09:39:57.763575,1
NWRA,MCCD,MEES,2003-02-26 07:48:00.344230,2003-03-01 07:48:00.344230,1
OBSPM,OBSPM,Meudon Spectroheliograph,2019-09-10 16:51:25.079639,2019-09-13 16:51:25.079639,1
OMP,OMP,CLIMSO,2015-05-31 08:43:03.176104,2015-06-03 08:43:03.176104,1
ROB,PROBA2,SWAP,2014-07-13 05:51:49.072185,2014-07-16 05:51:49.072185,1
SAO,Hinode,XRT,2023-01-02 00:00:00.000000,2023-01-02 00:11:00.000000,1
SDAC,EUNIS,LONGWAVE-LOBE-06,2006-04-12 00:00:00.000000,2006-04-15 00:00:00.000000,1
SDAC,EUNIS,LONGWAVE-LOBE-07,2007-11-06 00:00:00.000000,2007-11-09 00:00:00.000000,1
SDAC,EUNIS,LONGWAVE-SLIT-06,2006-04-12 00:00:00.000000,2006-04-15 00:00:00.000000,1
SDAC,EUNIS,LONGWAVE-SLIT-07,2007-11-06 00:00:00.000000,2007-11-09 00:00:00.000000,1
SDAC,EUNIS,SHORTWAVE-LOBE-06,2006-04-12 00:00:00.000000,2006-04-15 00:00:00.000000,1
SDAC,EUNIS,SHORTWAVE-LOBE-07,2007-11-06 00:00:00.000000,2007-11-09 00:00:00.000000,1
SDAC,EUNIS,SHORTWAVE-SLIT-06,2006-04-12 00:00:00.000000,2006-04-15 00:00:00.000000,1
SDAC,EUNIS,SHORTWAVE-SLIT-07,2007-11-06 00:00:00.000000,2007-11-09 00:00:00.000000,1
SDAC,FOXSI3,FOXSI,2018-09-07 00:00:00.000000,2018-09-10 00:00:00.000000,1
SDAC,FOXSI3,PHOENIX,2018-09-07 00:00:00.000000,2018-09-10 00:00:00.000000,1
SDAC,Hinode,EIS,2016-11-24 17:51:04.799833,2016-11-27 17:51:04.799833,1
SDAC,Hinode,SOT,2011-02-04 05:57:10.206853,2011-02-07 05:57:10.206853,1
SDAC,SO,EUI,2021-02-08 09:44:47.649699,2021-02-11 09:44:47.649699,1
SDAC,SO,SPICE,2022-03-03 00:00:00.000000,2022-03-03 01:00:00.000000,1
SDAC,SO,SoloHI,2022-03-03 00:00:00.000000,2022-03-03 01:00:00.000000,1
SDAC,SOHO,CDS,2000-03-06 19:38:20.393845,2000-03-09 19:38:20.393845,1
SDAC,SOHO,CELIAS,1999-10-07 11:57:01.923972,1999-10-10 11:57:01.923972,1
SDAC,SOHO,COSTEP,2013-12-29 02:20:49.581187,2014-01-01 02:20:49.581187,1
SDAC,SOHO,EIT,1999-12-05 05:00:59.339350,1999-12-08 05:00:59.339350,1
SDAC,SOHO,ERNE,2015-12-15 22:43:55.910342,2015-12-18 22:43:55.910342,1
SDAC,SOHO,GOLF,2020-02-28 01:37:04.364721,2020-03-02 01:37:04.364721,1
SDAC,SOHO,LASCO,2009-10-26 22:03:45.191509,2009-10-29 22:03:45.191509,1
SDAC,SOHO,SUMER,1996-08-29 00:53:33.446269,1996-09-01 00:53:33.446269,1
SDAC,SOHO,SWAN,1997-11-05 21:05:00.868837,1997-11-08 21:05:00.868837,1
SDAC,SOHO,UVCS,2001-09-14 12:14:55.595219,2001-09-17 12:14:55.595219,1
SDAC,SOHO,VIRGO,2016-01-26 01:50:46.516482,2016-01-29 01:50:46.516482,1
SDAC,TRACE,TRACE,2009-05-02 02:28:36.183641,2009-05-05 02:28:36.183641,1
SDAC,VAULT,VAULT-1999,1999-05-07 00:00:00.000000,1999-05-10 00:00:00.000000,1
SDAC,VAULT,VAULT-2002,2002-06-14 00:00:00.000000,2002-06-17 00:00:00.000000,1
SDAC,VAULT,VAULT-2014,2014-09-30 00:00:00.000000,2014-10-03 00:00:00.000000,1
SHA,SOHO,MDI,2001-10-29 07:34:41.804836,2001-11-01 07:34:41.804836,1
SSC,STEREO_A,IMPACT,2007-10-02 17:02:57.364076,2007-10-05 17:02:57.364076,1
SSC,STEREO_A,PLASTIC,2010-08-09 19:02:20.114606,2010-08-12 19:02:20.114606,1
SSC,STEREO_A,SECCHI,2007-07-05 21:37:58.856810,2007-07-08 21:37:58.856810,1
SSC,STEREO_A,SWAVES,2012-07-03 12:00:41.251319,2012-07-06 12:00:41.251319,1
SSC,STEREO_B,IMPACT,2014-08-06 07:29:07.243984,2014-08-09 07:29:07.243984,1
SSC,STEREO_B,PLASTIC,2008-12-16 12:07:25.104106,2008-12-19 12:07:25.104106,1
SSC,STEREO_B,SECCHI,2012-08-28 11:27:28.298397,2012-08-31 11:27:28.298397,1
SSC,STEREO_B,SWAVES,2012-03-01 00:00:00.000000,2012-03-02 00:00:00.000000,1
